stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
30,A,B,0,False,social,node99,0,0,0.0
34,A,A,0,True,social,node99,1,0,0.0
68,A,B,0,False,social,node99,2,0,0.0
84,B,A,0,False,social,node99,3,0,0.0
84,A,A,1,True,social,node99,0,1,0.0
34,B,A,1,False,social,node99,1,1,0.0
30,B,B,1,True,social,node99,2,1,0.0
68,B,B,1,True,social,node99,3,1,0.0
34,A,A,1,True,social,node99,0,2,0.0
68,B,B,1,True,social,node99,1,2,0.0
84,A,A,1,True,social,node99,2,2,0.0
30,B,B,1,True,social,node99,3,2,0.0
68,B,B,0,True,social,node99,0,3,0.0
84,A,A,1,True,social,node99,1,3,0.0
34,A,A,1,True,social,node99,2,3,0.0
30,B,B,1,True,social,node99,3,3,0.0
34,A,A,1,True,social,node99,0,4,0.0
84,A,A,1,True,social,node99,1,4,0.0
30,,B,1,False,social,node99,2,4,0.0
68,B,B,1,True,social,node99,3,4,0.0
34,A,A,1,True,social,node99,0,5,0.0
84,A,A,1,True,social,node99,1,5,0.0
68,B,B,1,True,social,node99,2,5,0.0
30,B,B,1,True,social,node99,3,5,0.0
27,B,B,1,True,nonsocial,node99,0,0,1.0
81,A,A,1,True,nonsocial,node99,1,0,1.0
73,A,A,1,True,nonsocial,node99,2,0,1.0
29,B,B,1,True,nonsocial,node99,3,0,1.0
27,A,B,0,False,nonsocial,node99,0,1,1.0
29,B,B,1,True,nonsocial,node99,1,1,1.0
81,A,A,1,True,nonsocial,node99,2,1,1.0
73,A,A,1,True,nonsocial,node99,3,1,1.0
29,B,B,1,True,nonsocial,node99,0,2,1.0
73,A,A,1,True,nonsocial,node99,1,2,1.0
27,B,B,1,True,nonsocial,node99,2,2,1.0
81,A,A,1,True,nonsocial,node99,3,2,1.0
27,B,B,1,True,nonsocial,node99,0,3,1.0
29,B,B,1,True,nonsocial,node99,1,3,1.0
73,A,A,1,True,nonsocial,node99,2,3,1.0
81,B,A,0,False,nonsocial,node99,3,3,1.0
27,B,B,1,True,nonsocial,node99,0,4,1.0
81,A,A,1,True,nonsocial,node99,1,4,1.0
29,B,B,0,True,nonsocial,node99,2,4,1.0
73,A,A,1,True,nonsocial,node99,3,4,1.0
73,A,A,1,True,nonsocial,node99,0,5,1.0
81,A,A,0,True,nonsocial,node99,1,5,1.0
27,B,B,1,True,nonsocial,node99,2,5,1.0
29,B,B,1,True,nonsocial,node99,3,5,1.0
68,B,B,1,True,social,node99,0,0,2.0
84,B,A,0,False,social,node99,1,0,2.0
34,B,A,1,False,social,node99,2,0,2.0
30,A,B,0,False,social,node99,3,0,2.0
68,B,B,1,True,social,node99,0,1,2.0
34,B,A,0,False,social,node99,1,1,2.0
30,B,B,1,True,social,node99,2,1,2.0
84,A,A,1,True,social,node99,3,1,2.0
34,B,A,1,False,social,node99,0,2,2.0
68,B,B,1,True,social,node99,1,2,2.0
84,A,A,1,True,social,node99,2,2,2.0
30,B,B,1,True,social,node99,3,2,2.0
84,A,A,1,True,social,node99,0,3,2.0
30,B,B,1,True,social,node99,1,3,2.0
68,B,B,1,True,social,node99,2,3,2.0
34,B,A,1,False,social,node99,3,3,2.0
68,B,B,1,True,social,node99,0,4,2.0
30,B,B,1,True,social,node99,1,4,2.0
34,B,A,0,False,social,node99,2,4,2.0
84,A,A,0,True,social,node99,3,4,2.0
84,A,A,1,True,social,node99,0,5,2.0
68,B,B,1,True,social,node99,1,5,2.0
34,B,A,0,False,social,node99,2,5,2.0
30,B,B,1,True,social,node99,3,5,2.0
73,B,A,0,False,nonsocial,node99,0,0,3.0
27,,B,0,False,nonsocial,node99,1,0,3.0
81,B,A,1,False,nonsocial,node99,2,0,3.0
29,B,B,1,True,nonsocial,node99,3,0,3.0
29,B,B,1,True,nonsocial,node99,0,1,3.0
27,A,B,0,False,nonsocial,node99,1,1,3.0
73,A,A,0,True,nonsocial,node99,2,1,3.0
81,B,A,0,False,nonsocial,node99,3,1,3.0
73,A,A,0,True,nonsocial,node99,0,2,3.0
29,B,B,1,True,nonsocial,node99,1,2,3.0
27,B,B,1,True,nonsocial,node99,2,2,3.0
81,A,A,1,True,nonsocial,node99,3,2,3.0
81,B,A,0,False,nonsocial,node99,0,3,3.0
73,A,A,1,True,nonsocial,node99,1,3,3.0
29,B,B,1,True,nonsocial,node99,2,3,3.0
27,B,B,1,True,nonsocial,node99,3,3,3.0
29,B,B,1,True,nonsocial,node99,0,4,3.0
73,A,A,1,True,nonsocial,node99,1,4,3.0
81,A,A,1,True,nonsocial,node99,2,4,3.0
27,B,B,1,True,nonsocial,node99,3,4,3.0
81,A,A,1,True,nonsocial,node99,0,5,3.0
29,B,B,1,True,nonsocial,node99,1,5,3.0
27,B,B,1,True,nonsocial,node99,2,5,3.0
73,A,A,1,True,nonsocial,node99,3,5,3.0
