stim,ParticipantAnswer,high_prob_choice,Reward,CorrectAns_participant,BlockType,ParticipantID,TrialNumber,RunNumber,BlockNumber
82,A,A,1,True,social,clwe99,0,0,0.0
60,B,B,1,True,social,clwe99,1,0,0.0
14,B,A,0,False,social,clwe99,2,0,0.0
74,B,B,1,True,social,clwe99,3,0,0.0
60,B,B,1,True,social,clwe99,0,1,0.0
74,B,B,1,True,social,clwe99,1,1,0.0
82,A,A,1,True,social,clwe99,2,1,0.0
14,A,A,1,True,social,clwe99,3,1,0.0
74,B,B,1,True,social,clwe99,0,2,0.0
60,A,B,1,False,social,clwe99,1,2,0.0
82,A,A,1,True,social,clwe99,2,2,0.0
14,B,A,0,False,social,clwe99,3,2,0.0
82,A,A,1,True,social,clwe99,0,3,0.0
60,A,B,0,False,social,clwe99,1,3,0.0
74,B,B,1,True,social,clwe99,2,3,0.0
14,B,A,0,False,social,clwe99,3,3,0.0
82,A,A,1,True,social,clwe99,0,4,0.0
74,B,B,1,True,social,clwe99,1,4,0.0
14,A,A,1,True,social,clwe99,2,4,0.0
60,B,B,1,True,social,clwe99,3,4,0.0
82,A,A,1,True,social,clwe99,0,5,0.0
60,A,B,0,False,social,clwe99,1,5,0.0
14,A,A,1,True,social,clwe99,2,5,0.0
74,B,B,1,True,social,clwe99,3,5,0.0
57,A,B,1,False,nonsocial,clwe99,0,0,1.0
41,B,A,0,False,nonsocial,clwe99,1,0,1.0
63,B,A,0,False,nonsocial,clwe99,2,0,1.0
39,A,B,1,False,nonsocial,clwe99,3,0,1.0
57,A,B,0,False,nonsocial,clwe99,0,1,1.0
39,A,B,0,False,nonsocial,clwe99,1,1,1.0
63,A,A,1,True,nonsocial,clwe99,2,1,1.0
41,,A,0,False,nonsocial,clwe99,3,1,1.0
39,B,B,1,True,nonsocial,clwe99,0,2,1.0
41,A,A,1,True,nonsocial,clwe99,1,2,1.0
63,A,A,1,True,nonsocial,clwe99,2,2,1.0
57,A,B,0,False,nonsocial,clwe99,3,2,1.0
41,A,A,1,True,nonsocial,clwe99,0,3,1.0
63,A,A,0,True,nonsocial,clwe99,1,3,1.0
39,B,B,0,True,nonsocial,clwe99,2,3,1.0
57,B,B,1,True,nonsocial,clwe99,3,3,1.0
57,B,B,0,True,nonsocial,clwe99,0,4,1.0
63,B,A,0,False,nonsocial,clwe99,1,4,1.0
39,A,B,1,False,nonsocial,clwe99,2,4,1.0
41,A,A,1,True,nonsocial,clwe99,3,4,1.0
63,A,A,1,True,nonsocial,clwe99,0,5,1.0
39,A,B,0,False,nonsocial,clwe99,1,5,1.0
41,A,A,1,True,nonsocial,clwe99,2,5,1.0
57,A,B,0,False,nonsocial,clwe99,3,5,1.0
82,A,A,1,True,social,clwe99,0,0,2.0
14,B,A,0,False,social,clwe99,1,0,2.0
60,B,B,0,True,social,clwe99,2,0,2.0
74,B,B,1,True,social,clwe99,3,0,2.0
14,A,A,1,True,social,clwe99,0,1,2.0
82,A,A,1,True,social,clwe99,1,1,2.0
60,A,B,0,False,social,clwe99,2,1,2.0
74,B,B,1,True,social,clwe99,3,1,2.0
60,B,B,1,True,social,clwe99,0,2,2.0
74,B,B,1,True,social,clwe99,1,2,2.0
14,A,A,1,True,social,clwe99,2,2,2.0
82,A,A,0,True,social,clwe99,3,2,2.0
74,B,B,0,True,social,clwe99,0,3,2.0
14,A,A,1,True,social,clwe99,1,3,2.0
82,A,A,1,True,social,clwe99,2,3,2.0
60,B,B,1,True,social,clwe99,3,3,2.0
60,B,B,1,True,social,clwe99,0,4,2.0
14,A,A,0,True,social,clwe99,1,4,2.0
74,B,B,1,True,social,clwe99,2,4,2.0
82,A,A,0,True,social,clwe99,3,4,2.0
74,B,B,0,True,social,clwe99,0,5,2.0
82,A,A,1,True,social,clwe99,1,5,2.0
14,A,A,1,True,social,clwe99,2,5,2.0
60,B,B,1,True,social,clwe99,3,5,2.0
41,A,A,1,True,nonsocial,clwe99,0,0,3.0
39,A,B,0,False,nonsocial,clwe99,1,0,3.0
57,B,B,1,True,nonsocial,clwe99,2,0,3.0
63,A,A,1,True,nonsocial,clwe99,3,0,3.0
39,A,B,0,False,nonsocial,clwe99,0,1,3.0
57,B,B,1,True,nonsocial,clwe99,1,1,3.0
41,A,A,1,True,nonsocial,clwe99,2,1,3.0
63,A,A,0,True,nonsocial,clwe99,3,1,3.0
57,B,B,1,True,nonsocial,clwe99,0,2,3.0
41,A,A,1,True,nonsocial,clwe99,1,2,3.0
63,A,A,1,True,nonsocial,clwe99,2,2,3.0
39,A,B,1,False,nonsocial,clwe99,3,2,3.0
39,A,B,0,False,nonsocial,clwe99,0,3,3.0
57,B,B,1,True,nonsocial,clwe99,1,3,3.0
41,A,A,0,True,nonsocial,clwe99,2,3,3.0
63,A,A,1,True,nonsocial,clwe99,3,3,3.0
63,A,A,1,True,nonsocial,clwe99,0,4,3.0
39,A,B,0,False,nonsocial,clwe99,1,4,3.0
41,A,A,1,True,nonsocial,clwe99,2,4,3.0
57,B,B,1,True,nonsocial,clwe99,3,4,3.0
63,A,A,1,True,nonsocial,clwe99,0,5,3.0
41,A,A,0,True,nonsocial,clwe99,1,5,3.0
39,A,B,1,False,nonsocial,clwe99,2,5,3.0
57,B,B,1,True,nonsocial,clwe99,3,5,3.0
