left,right,stim,ParticipantAnswer,response_training.keys,response_training.corr,response_training.rt,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,response_training_2.keys,response_training_2.corr,response_training_2.rt,Congr/Incongr,Reward,BlockType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
B,A,58,A,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,right,0,0.867,Incongruent,1,nonsocial,0,0,0,0,1,,,,,,,,,,
B,A,92,B,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,1.0742,Congruent,1,nonsocial,1,0,1,0,1,,,,,,,,,,
B,A,62,B,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,left,0,1.5985,Congruent,0,nonsocial,2,0,2,0,1,,,,,,,,,,
B,A,26,A,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,1.1984,Congruent,1,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,
A,B,92,B,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,1.0629,Congruent,1,nonsocial,0,0,0,0,1,,,,,,,,,,
A,B,26,A,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,1.1173,Congruent,1,nonsocial,1,0,1,0,1,,,,,,,,,,
A,B,62,B,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,right,0,1.0367,Incongruent,1,nonsocial,2,0,2,0,1,,,,,,,,,,
A,B,58,A,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,left,0,1.4912,Congruent,0,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,,,,,
,,,,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
B,A,27,A,,,,,,,,,,,,,,fake01,001,2022-04-25_14h07.59.758,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,1.8859,Congruent,1,social,0,0,0,0,1,,,,,,,,,,
